No,AC_YEAR,ENT_NAME,T_GI,T_PAY_ETC,T_JESU,T_OVERTIME_PAY,T_SU,T_EVALUATION,T_SANG,T_PAY_SUM,T_STAFF,T_WYEAR_WMONTH,T_ONE_AVE_PAY,T_AVGPAY_M,T_AVGPAY_W
69,2024,부산광역시기장군도시관리공단,6249792,1038964,390925,529160,795304,534212,0,9538357,202,0년 89개월,47220,50655,42857
70,2024,함안지방공사,3613939,988615,247732,322302,386336,257557,0,5816481,125,0년 99개월,46532,47825,41356
71,2024,안산도시공사,16574687,39000,609420,2028323,2319148,1200194,0,22770772,461,0년 110개월,49394,53950,43313
72,2024,제주관광공사,6397828,75723,175161,102953,404381,499530,0,7655576,140.49000000000001,0년 125개월,54492,60689,47146
73,2024,울주군시설관리공단,5476883,1823639,1044171,1447040,543529,543529,0,10878791,210.75,0년 117개월,51619,55350,45775
74,2024,양평공사,6819024,187033,1063292,510171,462877,502905,0,9545302,189,0년 82개월,50504,52280,44094
75,2024,평택도시공사,6579678,978472,798179,1415273,1144657,0,188586,11104845,238,0년 58개월,46659,52565,42060
76,2024,강화군시설관리공단,3637328,763961,517039,176290,132421,366995,0,5594034,126.84,0년 92개월,44103,47954,38099
77,2024,군포도시공사,6928046,1357517,1400601,1444544,1036274,687541,0,12854523,241.41,0년 80개월,53248,58447,46001
78,2024,전주시시설관리공단,11952967,2262501,1898797,3093482,1602172,1067624,0,21877543,434,0년 83개월,50409,51894,44908
79,2024,화성도시공사,20307760,3966247,3530439,5843537,2812107,1890019,0,38350109,850,0년 62개월,45118,47912,36429
80,2024,울산광역시남구도시관리공단,3599941,814140,867799,875460,341409,0,0,6498749,126,0년 90개월,51577,54954,45704
81,2024,노원구시설관리공단,5995699,589107,335036,536259,688871,0,0,8144972,163.05000000000001,0년 125개월,49954,54482,44879
82,2024,남양주도시공사,10310803,2649693,4199728,2919133,1047028,1163364,0,22289749,370,0년 90개월,60243,62114,56571
83,2024,중구시설관리공단,8428214,1863911,733499,1454671,1118561,763929,0,14362785,281.17000000000002,0년 91개월,51082,54602,44678
84,2024,통영관광개발공사,3394850,57041,838647,560344,396325,0,0,5247207,110,0년 97개월,47702,52266,40559
85,2024,영양고추유통공사,1172173,140505,256560,180465,0,89171,0,1838874,30.84,0년 146개월,59626,68341,40284
86,2024,울산광역시도시공사,2697783,19097,73042,260270,210034,212214,0,3472440,53,0년 133개월,65518,72124,45038
87,2024,관악구시설관리공단,4745923,1023866,320202,980250,383352,439740,0,7893333,164.44999999999999,0년 85개월,47998,48783,46038
88,2024,안동시시설관리공단,6792325,1785989,1603350,1647872,500466,688700,0,13018702,239.05000000000001,0년 124개월,54460,55372,49380
89,2024,인천환경공단,30911622,165358,846078,3639157,2041966,2391148,0,39995329,607,0년 116개월,65890,70698,48586
90,2024,은평구시설관리공단,4071444,939106,935019,481851,293005,129429,0,6849854,166.59999999999999,0년 84개월,41116,43015,37974
91,2024,충청남도개발공사,4737558,141600,279645,461718,326168,345936,96678,6389303,113.41,0년 95개월,56338,60346,39316
92,2024,창원레포츠파크,6012559,1151436,1210839,903475,575460,319518,0,10173287,235,0년 183개월,43291,55405,29285
93,2024,광주환경공단,10714150,2165531,3622388,1403828,1058225,1242206,0,20206328,299,0년 158개월,67580,70127,55546
94,2024,대구공공시설관리공단,58577950,804062,4033829,6802737,6853471,4499796,0,81571845,1418.2000000000001,0년 108개월,57518,54523,46888
95,2024,부산환경공단,30850651,6795745,1996897,3398964,5354092,2988537,0,51384886,782,0년 125개월,65710,64078,53835
96,2024,창원시설공단,21966594,5190583,3160504,5408566,4355096,0,0,40081343,712,0년 133개월,56294,58456,52125
97,2024,청주시시설관리공단,10022272,3462376,498419,1241283,1265971,1256690,0,17747011,340.48000000000002,0년 83개월,52124,54108,43780
98,2024,정선군시설관리공단,4394391,751681,1066395,465068,310109,388013,0,7375657,150.08000000000001,0년 98개월,49145,52366,41560
